#anonymous_set_id	scryfall_set_id
2007D	bf951ddb-4445-4923-87cb-3fe4ac3c6b9a
2007E	091fc340-30ea-4054-a013-44bc345b9c9e
2007F	30ec97cb-dca9-4bf4-a98b-310f9d8ceaff
2008A	9bd20131-fe8c-4a5d-9841-7347024ca54a
2008B	c41550df-7b41-41a3-85ab-8612eb2f168f
2008C	785c5919-8fbc-4ab9-a59f-51ee189b84d2
2008D	c18c0ba1-2081-4808-9b2e-549bc3a666f3
2008E	67920ddd-5260-42c0-831e-acbd7e135dd3
2008F	86b4dfef-f2d1-49d6-825d-7df6bda44357
2008G	c1cec8aa-5906-41d9-ae01-cbdde2e776fb
2008H	d667aaec-09b7-4406-b6fa-60795132dc11
2008I	824eec08-e609-41db-8de4-4e58d8aeb37d
2009A	a9fbcd3c-290f-4fa1-b227-dbab037c0c91
2009B	0ce7fd53-7c14-4d16-a4c3-5c47ad8a8e5b
2009C	76b2db58-904c-4e49-8580-9f62f7b3cca4
2009D	352a7433-5b06-4381-99e9-fc3b6282dd2c
2009E	db486ec5-141d-4781-9ee5-5456926934c1
2009F	37d3c9b9-0583-425e-8c14-10d4d4a28a57
2009G	0dba38a9-6b9d-4768-9831-4e03e8970a0b
2009H	7137ffeb-eb1d-466c-a0d3-3157f52b1b10
2009I	7a8b75a9-7c92-4c3f-976a-322e1eb3b6b6
2009J	b643670d-7a22-4869-b49c-89cdf9c9b627
2009K	eb16a2bd-a218-4e4e-8339-4aa1afc0c8d2
2010A	d871e33b-7086-4549-89d6-fedd4422161f
2010B	8d3a0693-6b2a-4955-aeda-4888b2665dd0
2010C	7fe6f402-6e57-476c-8f7b-500fd08e3099
2010D	2f248ce6-c2a5-4c6f-a2be-0c593fbe173c
2010E	3af1f1ab-7b96-4535-912c-3a225b1783bc
2010F	eadb8a82-ec56-4623-b50e-42e7e60cb535
2010G	8bc5ec64-18d5-4c81-96a1-8f619d81a019
2010H	238beedf-1d4d-475f-a980-527ba2f55dc6
2010I	485d2468-18c8-42a4-9482-ca1c51e0470e
2010J	3e3ea3e8-3d63-481f-b3ec-03c4f50b602e
2010K	2a5a88d5-e2ac-4252-bc4e-62654b1f9a46
2010L	761e8299-b38f-49b6-b6c4-f0315576f631
2010M	8f403072-9b22-4e69-8d59-22dc4c97fd8d
2010N	1ea34c50-24cc-4e12-bdf5-12ef7d8a522f
2011A	757ed42f-384b-450d-ab70-217cadca2847
2011B	8a59d98a-4e13-4943-b06c-b35868e954ba
2011C	f46c57e3-9301-4006-a6ca-06f3f65961fb
2011D	659f3361-e6e9-4891-925f-1d6795bab6ab
2011E	e8e356d8-6d01-4dab-aa07-d0999dc9359f
2011F	84ff1a64-4e69-4ed2-8c08-26206e3b97a0
2011G	488be4f7-19cb-42d5-bba3-189c221e535d
2011H	5cdd2643-229c-4441-a62a-c34e4b531e1c
2011I	b83c0908-ae67-47eb-9099-7a1791ada84a
2011J	94d2e8a2-5ae8-4b7e-a7db-6770d5cfa6fd
2011K	d1026945-2969-42b9-be53-f941405a58cb
2012A	6df07fcb-8b2a-43a6-82bc-97e92312a921
2012B	380cde80-8b8d-47c7-847f-aa4eeb388b43
2012C	f784e27e-4af8-4b11-8d45-826388d63604
2012D	8052750a-aaf2-46fc-b46d-633f14124017
2012E	b933d4a1-3d0a-45fb-a73c-a9ae2ba928b0
2012F	e5c5553c-307e-4bee-ba0b-6e96e0f2c78f
2012G	039810a9-92d7-4f2d-b2d0-ca661ac586c0
2012H	7079031b-c5b0-4353-87af-a63a0f204f47
2012I	9fb2f83e-7015-4aa9-808f-310ccf0fdb9c
